Cycle,Direction,Position_mm,Force_N,StrokeCount,Time_s
1,FWD,121.79000,0.01000,0,0.358
1,FWD,121.79301,0.00000,0,0.449
1,FWD,121.80469,0.00000,0,0.543
1,FWD,121.82450,0.00000,0,0.619
1,FWD,121.84494,0.00000,0,0.714
1,FWD,121.88469,0.01000,0,0.808
1,FWD,121.93053,0.00000,0,0.916
1,FWD,121.99167,0.01000,0,1.010
1,FWD,122.05804,0.02000,0,1.119
1,FWD,122.14418,0.01000,0,1.213
1,FWD,122.22624,0.02000,0,1.320
1,FWD,122.33342,0.01000,0,1.415
1,FWD,122.43604,0.01000,0,1.509
1,FWD,122.55514,0.01000,0,1.618
1,FWD,122.68594,-0.01000,0,1.710
1,FWD,122.81502,0.00000,0,1.820
1,FWD,122.97639,0.01000,0,1.912
1,FWD,123.11771,0.01000,0,2.006
1,FWD,123.25701,0.00000,0,2.117
1,FWD,123.42948,0.01000,0,2.209
1,FWD,123.55981,0.00000,0,2.318
1,FWD,123.73257,0.00000,0,2.411
1,FWD,123.86359,0.00000,0,2.520
1,FWD,124.02910,0.00000,0,2.615
1,FWD,124.17019,0.00000,0,2.708
1,FWD,124.30702,0.04000,0,2.817
1,FWD,124.48992,0.14000,0,2.910
1,FWD,124.61078,0.51000,0,3.019
1,FWD,124.77644,5.02000,1,3.112
1,BWD,124.82301,4.99000,1,3.469
1,BWD,124.81905,4.72000,1,3.563
1,BWD,124.80838,4.40000,1,3.639
1,BWD,124.78986,3.99000,1,3.717
1,BWD,124.76660,3.26000,1,3.808
1,BWD,124.73151,2.60000,1,3.918
1,BWD,124.67828,1.98000,1,4.013
1,BWD,124.62418,0.69000,1,4.119
1,BWD,124.54906,0.21000,1,4.215
1,BWD,124.47670,0.16000,1,4.306
1,BWD,124.39578,0.09000,1,4.414
1,BWD,124.28764,0.00000,1,4.509
1,BWD,124.18920,0.00000,1,4.585
1,BWD,124.09650,0.01000,1,4.664
1,BWD,124.01144,0.02000,1,4.740
1,BWD,123.90051,0.02000,1,4.817
1,BWD,123.79324,0.01000,1,4.909
1,BWD,123.65617,0.00000,1,5.017
1,BWD,123.49401,0.01000,1,5.111
1,BWD,123.35239,0.01000,1,5.219
1,BWD,123.18992,0.01000,1,5.313
1,BWD,123.05002,0.00000,1,5.406
1,BWD,122.91183,0.01000,1,5.514
1,BWD,122.75113,0.01000,1,5.608
1,BWD,122.62263,0.02000,1,5.715
1,BWD,122.48612,-0.00000,1,5.808
1,BWD,122.37520,0.01000,1,5.918
1,BWD,122.25919,-0.00000,1,6.011
1,BWD,122.16761,-0.00000,1,6.106
1,BWD,122.08536,0.01000,1,6.183
1,BWD,122.03090,0.03000,1,6.261
1,BWD,121.96660,0.01000,1,6.340
1,BWD,121.91769,0.00000,1,6.418
1,BWD,121.87437,0.00000,1,6.511
1,BWD,121.83064,-0.01000,1,6.618
1,BWD,121.79127,0.01000,1,6.710
2,FWD,121.77908,0.01000,1,6.742
2,FWD,121.75885,0.01000,1,6.820
2,FWD,121.74699,-0.01000,1,6.911
2,FWD,121.74033,0.00000,1,7.021
2,FWD,121.74355,0.02000,1,7.112
2,FWD,121.75552,0.01000,1,7.206
2,FWD,121.77657,0.01000,1,7.314
2,FWD,121.81174,-0.00000,1,7.409
